spaceId	spaceName
6431	5楼东105
6432	5楼东106
6433	5楼东107
6434	5楼东108
6435	5楼东109
6436	5楼东110
6437	5楼东111
6438	5楼东112
6439	5楼东113
6440	5楼东114
6441	5楼东115
6442	5楼东116
6443	5楼东117
6444	5楼东118
6445	5楼东119
6446	5楼东120
6447	5楼东121
6448	5楼东122
6449	5楼东123
6450	5楼东124
6451	5楼东125
6452	5楼东126
6453	5楼东127
6454	5楼东128
6455	5楼东129
6456	5楼东130
6457	5楼东131
6458	5楼东132
6459	5楼东133
6460	5楼东134
6461	5楼东135
6462	5楼东136
6463	5楼东137
6464	5楼东138
6465	5楼东139
6466	5楼东140
6467	5楼东141
6468	5楼东142
6469	5楼东143
6470	5楼东144
6471	5楼东145
6472	5楼东146
6473	5楼东147
6474	5楼东148
6475	5楼东149
6476	5楼东150
6477	5楼东151
6478	5楼东152
6479	5楼东153
6480	5楼东154
6481	5楼东155
6482	5楼东156
6483	5楼东157
6484	5楼东158
6485	5楼东159
6486	5楼东160
6487	5楼东161
6488	5楼东162
6489	5楼东163
6490	5楼东164
6491	5楼东165
6492	5楼东166
6493	5楼东167
6494	5楼东168
6495	5楼东169
6496	5楼东170
6497	5楼东171
6498	5楼东172
6499	5楼东173
6500	5楼东174
6501	5楼东175
6502	5楼东176
6503	5楼东177
6504	5楼东178
6505	5楼东179
6506	5楼东180
6507	5楼东181
6508	5楼东182
6509	5楼东183
6510	5楼东184
6511	5楼东185
6512	5楼东186
6513	5楼东187
6514	5楼东188
6515	5楼东189
6516	5楼东190
6517	5楼东191
6518	5楼东192
6519	5楼东193
6520	5楼东194
6521	5楼东195
6522	5楼东196
6523	5楼东197
6524	5楼东198
6525	5楼东199
6526	5楼东200
6527	5楼东201
6528	5楼东202
6529	5楼东203
6530	5楼东204
6531	5楼东205
6532	5楼东206
6533	5楼东207
6534	5楼东208
6535	5楼东209
6536	5楼东210
6537	5楼东211
6538	5楼东212
6539	5楼东213
6540	5楼东214
6541	5楼东215
6542	5楼东216
6543	5楼东217
6544	5楼东218
6545	5楼东219
6546	5楼东220
6547	5楼东221
6548	5楼东222
6549	5楼东223
6550	5楼东224
6551	5楼东225
6552	5楼东226
6553	5楼东227
6554	5楼东228
6555	5楼东229
6556	5楼东230
6557	5楼东231
6558	5楼东232
6559	5楼东233
6560	5楼东234
6561	5楼东235
6562	5楼东236
6563	5楼东237
6564	5楼东238
6565	5楼东239
6566	5楼东240
6567	5楼东241
6568	5楼东242
6569	5楼东243
6570	5楼东244
6571	5楼东245
6572	5楼东246
6573	5楼东247
6574	5楼东248
6575	5楼东249
6576	5楼东250
6577	5楼东251
6578	5楼东252
6579	5楼东253
6580	5楼东254
6581	5楼东255
6582	5楼东256
6583	5楼东257
6584	5楼东258
6585	5楼东259
6586	5楼东260
6587	5楼东261
6588	5楼东262
6589	5楼东263
6590	5楼东264
6591	5楼东265
6592	5楼东266
6593	5楼东267
6594	5楼东268
6595	5楼东269
6596	5楼东270
6597	5楼东271
6598	5楼东272
6599	5楼东273
6600	5楼东274
6601	5楼东275
6602	5楼东276
6603	5楼东277
6604	5楼东278
6605	5楼东279
6606	5楼东280
6607	5楼东281
6608	5楼东282
6609	5楼东283
6610	5楼东284
6611	5楼东285
6612	5楼东286
6613	5楼东287
6614	5楼东288
6615	5楼东289
6616	5楼东290
6617	5楼东291
6618	5楼东292
6619	5楼东293
6620	5楼东294
6621	5楼东295
6622	5楼东296
6623	5楼东297
6624	5楼东298
6625	5楼东299
6626	5楼东300
6627	5楼东301
6628	5楼东302
6629	5楼东303
6630	5楼东304
6631	5楼东305
6632	5楼东306
6633	5楼东307
6634	5楼东308
6635	5楼东309
6636	5楼东310
6637	5楼东311
6638	5楼东312
6639	5楼东313
6640	5楼东314
6641	5楼东315
6642	5楼东316
6643	5楼东317
6644	5楼东318
6645	5楼东319
6646	5楼东320
6647	5楼东321
6648	5楼东322
6649	5楼东323
6650	5楼东324
6651	5楼东325
6652	5楼东326
6653	5楼东327
6654	5楼东328
6655	5楼东329
6656	5楼东330
6657	5楼东331
6658	5楼东332
6659	5楼东333
6660	5楼东334
6661	5楼东335
6662	5楼东336
6663	5楼东337
6664	5楼东338
6665	5楼东339
6666	5楼东340
6667	5楼东341
